,ID,X,Y,Area,Intensity,ParentCellID,MeanIntensity,MaxIntensity,major_axis_length,minor_axis_length
2611,3769.0,433.95913461538464,1031.4423076923076,416.0,,,0.007624375633895397,0.01425192691385746,44.61875055910348,14.911618128201482
2612,3771.0,1116.7848101265822,1033.4699367088608,632.0,,,0.020970603451132774,0.03920042887330055,31.932882002596727,25.7621345779592
2613,3775.0,1746.312101910828,1025.216560509554,157.0,,,0.002091457834467292,0.0025329976342618465,16.23030247046335,12.525677172363723
2614,3776.0,1811.1712328767123,1031.7876712328766,146.0,,,0.007653549313545227,0.012634470127522945,19.81338235045207,9.62265955771645
2615,3777.0,1058.626728110599,1034.152073732719,217.0,,,0.006596679333597422,0.011367971077561378,25.167803373298625,11.4755134660634
2616,3779.0,1627.5,1021.5,12.0,,,0.0008290736004710197,0.000839246204122901,3.8297084310253524,3.8297084310253524
2617,3780.0,1869.4444444444443,1029.1888888888889,270.0,,,0.001316740526817739,0.0014343480579555035,25.247041725681793,18.265023450095722
2618,3781.0,586.7111111111111,1037.9555555555555,45.0,,,0.00470961257815361,0.0069733732379972935,11.285480573700932,5.623750545314711
2619,3782.0,830.0062111801242,1029.1863354037266,161.0,,,0.0019028286915272474,0.00221255817450583,15.917248522825927,13.255185962929588
2620,3783.0,811.0757575757576,1026.969696969697,66.0,,,0.0018454167293384671,0.0021057450212538242,12.068685727489232,7.559721951057806
2621,3785.0,1892.3148148148148,1031.0787037037037,216.0,,,0.0012821817072108388,0.0015259021893143654,23.822635575386105,12.569104072203253
2622,3786.0,102.65853658536585,1025.2682926829268,41.0,,,0.0016874243738129735,0.0020141908898949623,10.037824440694116,5.340179003432574
2623,3787.0,228.38181818181818,1026.8727272727272,55.0,,,0.0013916228199377656,0.0016021972987800837,11.205022026458655,6.811842657815931
2624,3791.0,1979.2826086956522,1033.0896739130435,368.0,,,0.0063888030126690865,0.011047531850636005,23.696213684404942,20.188144355635192
2625,3792.0,252.4090909090909,1031.2045454545455,264.0,,,0.0023434157483279705,0.003479056991636753,26.30465476463023,13.012459063592106
2626,3793.0,669.6096654275093,1032.2490706319702,269.0,,,0.0011566225439310074,0.001495384145528078,37.309637597702206,10.761834963112447
2627,3794.0,1091.64,1028.04,25.0,,,0.0033459984697401524,0.0035400930792093277,8.307474260684488,3.827096994859774
2628,3795.0,1730.1333333333334,1029.2777777777778,90.0,,,0.001618473557755351,0.0019989318680018187,12.813121535673789,9.34252010670308
2629,3796.0,1773.3569023569023,1031.2962962962963,297.0,,,0.0020028878934681416,0.002243076218292117,37.988455751500084,10.980552998523601
2630,3797.0,45.29761904761905,1056.529761904762,336.0,,,0.0066354041919112206,0.011169604025781155,25.518565392897436,17.48577612728923
2631,3799.0,68.75,1026.875,8.0,,,0.0008163576712831855,0.0008545052260160446,6.759110549939208,1.7505497918369826
2632,3802.0,872.5163204747774,1035.3175074183976,337.0,,,0.0014587081968784332,0.0017395284958183765,32.505068544323805,15.43048987348437
2633,3803.0,1182.6571428571428,1029.2285714285715,35.0,,,0.0015851944917812943,0.0017853055614978075,6.850892562897198,6.603459642861851
